partnerid,country,stream,latitude,longitude,chnl_width_up,chnl_width_down,water_depth_up,water_depth_down,deploy_time,biome,biome_short
JOCU,CA,1,45.716563,-64.159504,3.73,3.66,13,12,29,Temperate Broadleaf & Mixed Forests,temp_broad
JOCU,CA,2,45.990668,-64.248315,4.2,4.5,27,21,29,Temperate Broadleaf & Mixed Forests,temp_broad
JOCU,CA,3,45.725886,-64.525241,2.44,1.18,12,8,29,Temperate Broadleaf & Mixed Forests,temp_broad
JOCU,CA,4,45.874873,-64.468382,1.9,2.4,31,22,28,Temperate Broadleaf & Mixed Forests,temp_broad
JOHU,US,1,58.6201,-134.936,3,4.5,18,15,37,Temperate Conifer Forests,temp_conif
JOHU,US,2,58.4864,-134.7774,13,17,30,30,37,Temperate Conifer Forests,temp_conif
JOHU,US,3,58.4705,-134.7836,6.5,5,13,15,37,Temperate Conifer Forests,temp_conif
JOHU,US,4,58.3317,-134.4705,18,17,20,18,37,Temperate Conifer Forests,temp_conif
JORI,CA,1,49.2838056,-122.5623889,1.7,2.2,11,14,35,Temperate Conifer Forests,temp_conif
JORI,CA,2,49.2948611,-122.5675556,2.4,3.1,9,9,35,Temperate Conifer Forests,temp_conif
JORI,CA,3,49.2675028,-122.5596667,4,2.9,11,8,35,Temperate Conifer Forests,temp_conif
JORI,CA,4,49.2775278,-122.5459167,1.9,1.1,14,7,35,Temperate Conifer Forests,temp_conif
JPM,ES,1,42.7903056,-1.9087778,0.95,0.55,17,8,28,Temperate Broadleaf & Mixed Forests,temp_broad
JPM,ES,2,42.7344444,-1.99925,1.25,1.7,20,14,28,Temperate Broadleaf & Mixed Forests,temp_broad
JPM,ES,3,42.7420833,-2.0284444,2,2.6,39,23,28,Temperate Broadleaf & Mixed Forests,temp_broad
JPM,ES,4,42.69225,-2.2478333,3.8,2.5,25,28,28,Temperate Broadleaf & Mixed Forests,temp_broad
JR,EC,1,-2.868133,-79.11430014,0.64,1.23,14,9,27,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
JR,EC,2,-2.869066,-79.11558462,2.04,2.7,15,21,31,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
JR,EC,3,-2.871621,-79.11960934,2.2,2.3,23,10.2,27,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
JR,EC,4,-2.874338,-79.12282444,1.07,0.93,5,6.7,27,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
JS,US,1,40.579503,-111.047669,13.7,11.9,17.8,16.5,32,Temperate Conifer Forests,temp_conif
JS,US,2,41.875846,-111.564533,7.3,9.8,20.3,25.4,30,Temperate Conifer Forests,temp_conif
JS,US,3,40.809522,-111.765472,1.1,1.2,7.6,10.2,29,Temperate Conifer Forests,temp_conif
JS,US,4,40.779602,-111.806669,1.1,1.3,15.9,17.8,29,Deserts & Xeric Shrublands,desert
JT,US,1,44.545501,-123.496148,2.1,2.22,21,15,30,Temperate Broadleaf & Mixed Forests,temp_broad
JT,US,2,44.549005,-123.485049,1.11,2.07,13,3.5,30,Temperate Broadleaf & Mixed Forests,temp_broad
JT,US,3,44.546931,-123.468754,1.18,1.13,9,7.5,30,Temperate Broadleaf & Mixed Forests,temp_broad
JT,US,4,44.545176,-123.448346,1.12,1.39,14.5,8,30,Temperate Broadleaf & Mixed Forests,temp_broad
JUCO,CH,1,46.2164444,9.02175,5.1,3.2,18,23,34,Temperate Conifer Forests,temp_conif
JUCO,CH,2,46.2647778,8.9917222,5.4,4.4,16,23,34,Temperate Conifer Forests,temp_conif
JUCO,CH,3,46.1821667,8.9430556,1.4,4.2,30,41,34,Temperate Conifer Forests,temp_conif
