,str.part,biome_short,Stream.index,k
238,MIDA 1,temp_broad,361,0.065424619
239,MIDA 3,temp_broad,362,0.056190203
240,MIDA 4,temp_broad,363,0.110356721
64,MINI 1,taiga,364,0.004677623
65,MINI 2,taiga,365,0.003118899
66,MINI 3,taiga,366,0.002261935
67,MINI 4,taiga,367,0.002981377
241,MM 1,temp_broad,368,0.041167821
242,MM 2,temp_broad,369,0.004480115
243,NG 1,temp_broad,370,0.002597341
244,NG 2,temp_broad,371,0.002388833
245,NG 3,temp_broad,372,0.005634893
246,NG 4,temp_broad,373,0.001957649
478,PEGS 1,trop_wet,374,0.06289188
479,PEGS 2,trop_wet,375,0.030581777
480,PEGS 3,trop_wet,376,0.014981797
481,PEGS 4,trop_wet,377,0.015681407
247,PEMC 1,temp_broad,378,0.06126837
248,PEMC 2,temp_broad,379,0.062132219
249,PEMC 3,temp_broad,380,0.097869641
250,PEMC 4,temp_broad,381,0.092220081
251,PF 1,temp_broad,382,0.050183018
255,PF 2,temp_broad,383,0.052108088
256,PF 3,temp_broad,384,0.014161394
257,PF 4,temp_broad,385,0.008845635
258,PF 5,temp_broad,386,0.020915623
259,PF 6,temp_broad,387,0.019055957
260,PF 7,temp_broad,388,0.002206507
261,PF 8,temp_broad,389,0.021121993
262,PF 9,temp_broad,390,0.004069173
252,PF 10,temp_broad,391,0.024833618
253,PF 11,temp_broad,392,0.008395428
254,PF 12,temp_broad,393,0.003435194
482,PILI 1,trop_wet,394,0.162949558
483,PILI 2,trop_wet,395,0.112201027
484,PILI 3,trop_wet,396,0.063113803
400,PILI 4,trop_dry,397,0.007775007
392,PL 1,temp_grass,398,0.03884099
393,PL 3,temp_grass,399,0.101417745
394,PL 4,temp_grass,400,0.112535638
263,PW 1,temp_broad,401,0.007733397
264,PW 2,temp_broad,402,0.035764346
265,PW 3,temp_broad,403,0.024465928
266,PW 4,temp_broad,404,0.011087206
267,RALB 1,temp_broad,405,0.052774741
268,RALB 2,temp_broad,406,0.014054091
395,RALB 3,temp_grass,407,0.05495873
396,RALB 4,temp_grass,408,0.057236655
68,RIPA 1,taiga,409,0.003472485
69,RIPA 2,taiga,410,0.016810058
70,RIPA 3,taiga,411,0.002934909
71,RIPA 4,taiga,412,0.019464289
269,ROMO 1,temp_broad,413,0.005789911
270,ROMO 2,temp_broad,414,0.016219594
271,ROMO 3,temp_broad,415,0.007381828
272,ROMO 4,temp_broad,416,0.022117838
72,RS 1,taiga,417,0.007518418
73,RS 2,taiga,418,0.005618297
74,RS 3,taiga,419,0.007749776
75,RS 4,taiga,420,0.005435353
485,SDG 1,trop_wet,421,0.069818966
486,SDG 2,trop_wet,422,0.014993458
487,SDG 3,trop_wet,423,0.089590187
488,SDG 4,trop_wet,424,0.067469045
273,SE 1,temp_broad,425,0.002655883
274,SE 2,temp_broad,426,0.00238533
275,SE 3,temp_broad,427,0.002258964
276,SE 4,temp_broad,428,0.002774321
277,SH 1,temp_broad,429,0.002861527
278,SH 2,temp_broad,430,0.003064811
279,SI 1,temp_broad,431,0.054238435
280,SI 2,temp_broad,432,0.004208628
281,SI 3,temp_broad,433,0.006882155
282,SI 4,temp_broad,434,0.070125633
283,SK 1,temp_broad,435,0.007360453
284,SK 2,temp_broad,436,0.00425266
285,SK 3,temp_broad,437,0.051740922
286,SK 4,temp_broad,438,0.031945276
76,SL 1,taiga,439,0.002472616
77,SL 2,taiga,440,0.002589512
78,SL 3,taiga,441,0.002163124
79,SL 4,taiga,442,0.002333227
489,SM 1,trop_wet,443,0.004264373
45,ST 1,mont_grass,444,0.027810087
46,ST 2,mont_grass,445,0.073409348
47,ST 3,mont_grass,446,0.002089517
48,ST 4,mont_grass,447,0.051604777
80,SU 1,taiga,448,0.004470406
81,SU 2,taiga,449,0.002696265
82,SU 3,taiga,450,0.002374362
83,SU 4,taiga,451,0.022358806
287,SV 1,temp_broad,452,0.034402275
288,SV 2,temp_broad,453,0.02201615
289,SV 3,temp_broad,454,0.033485122
290,SV 4,temp_broad,455,0.067836968
291,SW 1,temp_broad,456,0.020560578
292,SW 2,temp_broad,457,0.023589459
293,SW 3,temp_broad,458,0.045316866
294,SW 4,temp_broad,459,0.033951976
295,TAHI 1,temp_broad,460,0.015282951
296,TAHI 2,temp_broad,461,0.014681674
297,TAHI 3,temp_broad,462,0.038823641
298,TAHI 4,temp_broad,463,0.016968079
299,TF 1,temp_broad,464,0.113400465
374,TF 2,temp_conif,465,0.039138886
375,TF 3,temp_conif,466,0.039329596
376,TF 4,temp_conif,467,0.133220996
300,TI 1,temp_broad,468,0.046889007
301,TI 2,temp_broad,469,0.052099178
302,TI 3,temp_broad,470,0.078412725
303,TI 4,temp_broad,471,0.006077847
84,TIMO 1,taiga,472,0.015365462
85,TIMO 2,taiga,473,0.014053349
86,TIMO 3,taiga,474,0.031738442
87,TIMO 4,taiga,475,0.010818569
490,TM 1,trop_wet,476,0.046362768
491,TM 2,trop_wet,477,0.079041713
492,TM 3,trop_wet,478,0.081598359
493,TM 4,trop_wet,479,0.072510085
304,TR 1,temp_broad,480,0.064133749
305,TR 2,temp_broad,481,0.015146266
306,TR 3,temp_broad,482,0.009116455
307,TR 4,temp_broad,483,0.010107595
494,VCP 1,trop_wet,484,0.095861794
495,VCP 2,trop_wet,485,0.102082121
496,VCP 3,trop_wet,486,0.088154388
497,VCP 4,trop_wet,487,0.104204363
308,VDV 1,temp_broad,488,0.028020956
309,VDV 2,temp_broad,489,0.009950417
310,VDV 3,temp_broad,490,0.007618911
311,VDV 4,temp_broad,491,0.006556518
37,VF 1,mediter,492,0.069809354
38,VF 2,mediter,493,0.004622372
39,VF 3,mediter,494,0.007253848
40,VF 4,mediter,495,0.021665517
377,VG 1,temp_conif,496,0.035763761
378,VG 2,temp_conif,497,0.006091784
379,VG 3,temp_conif,498,0.04761022
380,VG 4,temp_conif,499,0.008744541
498,VNL 2,trop_wet,500,0.107689586
499,VNL 3,trop_wet,501,0.111290486
500,VNL 4,trop_wet,502,0.114366828
397,WC 1,temp_grass,503,0.059235424
381,WC 2,temp_conif,504,0.038392344
382,WC 3,temp_conif,505,0.003308944
383,WC 4,temp_conif,506,0.002448334
312,YM 1,temp_broad,507,0.007122485
313,YM 2,temp_broad,508,0.01311646
314,YM 3,temp_broad,509,0.018152042
315,YM 4,temp_broad,510,0.015264325
316,YZ 1,temp_broad,511,0.008635671
317,YZ 2,temp_broad,512,0.067013247
318,YZ 3,temp_broad,513,0.048605821
319,YZ 4,temp_broad,514,0.03666469
